id,title,description,intent,keywords,sample_questions,status
quyen_rieng_tu__xu_ly_thong_tin_khach_hang__prob_1,Trách nhiệm và các trường hợp VNPT xử lý thông tin,Thông tin về trách nhiệm và các trường hợp vnpt xử lý thông tin theo chính sách quyền riêng tư của VNPT Money,trach_nhiem_va_cac_truong_hop_vnpt_xu_ly_thong_tin,"Xử lý Thông tin Khách hàng,Trách,nhiệm,trường,hợp,VNPT,xử,lý,thông,tin",Trách nhiệm và các trường hợp VNPT xử lý thông tin?|Tôi muốn hỏi về trách nhiệm và các trường hợp vnpt xử lý thông tin|Trách nhiệm và các trường hợp VNPT xử lý thông tin trong dịch vụ Xử lý Thông tin Khách hàng?,active
quyen_rieng_tu__xu_ly_thong_tin_khach_hang__prob_2,Loại dữ liệu cá nhân được VNPT xử lý,Thông tin về loại dữ liệu cá nhân được vnpt xử lý theo chính sách quyền riêng tư của VNPT Money,loai_du_lieu_ca_nhan_duoc_vnpt_xu_ly,"Xử lý Thông tin Khách hàng,Loại,dữ,liệu,cá,nhân,VNPT,xử,lý",Loại dữ liệu cá nhân được VNPT xử lý?|Tôi muốn hỏi về loại dữ liệu cá nhân được vnpt xử lý|Loại dữ liệu cá nhân được VNPT xử lý trong dịch vụ Xử lý Thông tin Khách hàng?,active
quyen_rieng_tu__xu_ly_thong_tin_khach_hang__prob_3,Quy định về thông tin bắt buộc và thông tin tùy chọn,Thông tin về quy định về thông tin bắt buộc và thông tin tùy chọn theo chính sách quyền riêng tư của VNPT Money,quy_dinh_ve_thong_tin_bat_buoc_va_thong_tin_tuy_ch,"Xử lý Thông tin Khách hàng,Quy,định,thông,tin,bắt,buộc,tùy,chọn",Quy định về thông tin bắt buộc và thông tin tùy chọn?|Tôi muốn hỏi về quy định về thông tin bắt buộc và thông tin tùy chọn|Quy định về thông tin bắt buộc và thông tin tùy chọn trong dịch vụ Xử lý Thông tin Khách hàng?,active
quyen_rieng_tu__xu_ly_thong_tin_khach_hang__prob_4,Hệ quả khi không cung cấp đủ thông tin bắt buộc,Thông tin về hệ quả khi không cung cấp đủ thông tin bắt buộc theo chính sách quyền riêng tư của VNPT Money,he_qua_khi_khong_cung_cap_du_thong_tin_bat_buoc,"Xử lý Thông tin Khách hàng,Hệ,quả,cung,cấp,đủ,thông,tin,bắt,buộc",Hệ quả khi không cung cấp đủ thông tin bắt buộc?|Tôi muốn hỏi về hệ quả khi không cung cấp đủ thông tin bắt buộc|Hệ quả khi không cung cấp đủ thông tin bắt buộc trong dịch vụ Xử lý Thông tin Khách hàng?,active
quyen_rieng_tu__xu_ly_thong_tin_khach_hang__prob_5,Ủy quyền hoặc thuê bên thứ ba xử lý thông tin,Thông tin về ủy quyền hoặc thuê bên thứ ba xử lý thông tin theo chính sách quyền riêng tư của VNPT Money,uy_quyen_hoac_thue_ben_thu_ba_xu_ly_thong_tin,"Xử lý Thông tin Khách hàng,Ủy,quyền,thuê,thứ,ba,xử,lý,thông,tin",Ủy quyền hoặc thuê bên thứ ba xử lý thông tin?|Tôi muốn hỏi về ủy quyền hoặc thuê bên thứ ba xử lý thông tin|Ủy quyền hoặc thuê bên thứ ba xử lý thông tin trong dịch vụ Xử lý Thông tin Khách hàng?,active
quyen_rieng_tu__muc_dich_xu_ly_thong_tin_khach_hang__prob_1,Mục đích bắt buộc để cung cấp sản phẩm và dịch vụ,Thông tin về mục đích bắt buộc để cung cấp sản phẩm và dịch vụ theo chính sách quyền riêng tư của VNPT Money,muc_dich_bat_buoc_de_cung_cap_san_pham_va_dich_vu,"Mục đích xử lý Thông tin Khách hàng,Mục,đích,bắt,buộc,cung,cấp,sản,phẩm",Mục đích bắt buộc để cung cấp sản phẩm và dịch vụ?|Tôi muốn hỏi về mục đích bắt buộc để cung cấp sản phẩm và dịch vụ|Mục đích bắt buộc để cung cấp sản phẩm và dịch vụ trong dịch vụ Mục đích xử lý Thông tin Khách hàng?,active
quyen_rieng_tu__muc_dich_xu_ly_thong_tin_khach_hang__prob_2,Mục đích để thực hiện nghĩa vụ pháp luật,Thông tin về mục đích để thực hiện nghĩa vụ pháp luật theo chính sách quyền riêng tư của VNPT Money,muc_dich_de_thuc_hien_nghia_vu_phap_luat,"Mục đích xử lý Thông tin Khách hàng,Mục,đích,thực,hiện,nghĩa,pháp,luật",Mục đích để thực hiện nghĩa vụ pháp luật?|Tôi muốn hỏi về mục đích để thực hiện nghĩa vụ pháp luật|Mục đích để thực hiện nghĩa vụ pháp luật trong dịch vụ Mục đích xử lý Thông tin Khách hàng?,active
quyen_rieng_tu__muc_dich_xu_ly_thong_tin_khach_hang__prob_3,Quy định về các mục đích xử lý thông tin tùy chọn,Thông tin về quy định về các mục đích xử lý thông tin tùy chọn theo chính sách quyền riêng tư của VNPT Money,quy_dinh_ve_cac_muc_dich_xu_ly_thong_tin_tuy_chon,"Mục đích xử lý Thông tin Khách hàng,Quy,định,mục,đích,xử,lý,thông,tin,tùy",Quy định về các mục đích xử lý thông tin tùy chọn?|Tôi muốn hỏi về quy định về các mục đích xử lý thông tin tùy chọn|Quy định về các mục đích xử lý thông tin tùy chọn trong dịch vụ Mục đích xử lý Thông tin Khách hàng?,active
quyen_rieng_tu__muc_dich_xu_ly_thong_tin_khach_hang__prob_4,Cách thức từ chối các mục đích tiếp thị và quảng cáo,Thông tin về cách thức từ chối các mục đích tiếp thị và quảng cáo theo chính sách quyền riêng tư của VNPT Money,cach_thuc_tu_choi_cac_muc_dich_tiep_thi_va_quang_c,"Mục đích xử lý Thông tin Khách hàng,thức,chối,mục,đích,tiếp,thị,quảng,cáo",Cách thức từ chối các mục đích tiếp thị và quảng cáo?|Tôi muốn hỏi về cách thức từ chối các mục đích tiếp thị và quảng cáo|Cách thức từ chối các mục đích tiếp thị và quảng cáo trong dịch vụ Mục đích xử lý Thông tin Khách hàng?,active
quyen_rieng_tu__muc_dich_xu_ly_thong_tin_khach_hang__prob_5,Chính sách về việc mua bán thông tin khách hàng,Thông tin về chính sách về việc mua bán thông tin khách hàng theo chính sách quyền riêng tư của VNPT Money,chinh_sach_ve_viec_mua_ban_thong_tin_khach_hang,"Mục đích xử lý Thông tin Khách hàng,Chính,sách,việc,mua,bán,thông,tin,khách,hàng",Chính sách về việc mua bán thông tin khách hàng?|Tôi muốn hỏi về chính sách về việc mua bán thông tin khách hàng|Chính sách về việc mua bán thông tin khách hàng trong dịch vụ Mục đích xử lý Thông tin Khách hàng?,active
