id,name,group_id,keywords,order
quyen_rieng_tu__cach_thuc_xu_ly_thong_tin_khach_hang,Cách thức xử lý Thông tin Khách hàng,quyen_rieng_tu,,1
quyen_rieng_tu__hau_qua_thiet_hai_khong_mong_muon,"Hậu quả, thiệt hại không mong muốn",quyen_rieng_tu,,2
quyen_rieng_tu__luat_ap_dung,Luật áp dụng,quyen_rieng_tu,,3
quyen_rieng_tu__luu_tru_thong_tin_khach_hang,Lưu trữ Thông tin Khách hàng,quyen_rieng_tu,,4
quyen_rieng_tu__muc_dich_xu_ly_thong_tin_khach_hang,Mục đích xử lý Thông tin Khách hàng,quyen_rieng_tu,,5
quyen_rieng_tu__nghia_vu_cua_khach_hang_doi_voi_thong_tin_khach_hang,Nghĩa vụ của Khách hàng đối với Thông tin Khách hàng,quyen_rieng_tu,,6
quyen_rieng_tu__nghia_vu_cua_vnpt_doi_voi_thong_tin_khach_hang,Nghĩa vụ của VNPT đối với Thông tin Khách hàng,quyen_rieng_tu,,7
quyen_rieng_tu__pham_vi_su_dung_thong_tin_khach_hang,Phạm vi sử dụng Thông tin Khách hàng,quyen_rieng_tu,,8
quyen_rieng_tu__quyen_cua_khach_hang_doi_voi_thong_tin_khach_hang,Quyền của Khách hàng đối với Thông tin Khách hàng,quyen_rieng_tu,,9
quyen_rieng_tu__quang_cao_tren_internet_va_ben_thu_ba,Quảng cáo trên internet và bên thứ ba,quyen_rieng_tu,,10
quyen_rieng_tu__thong_tin_lien_lac,Thông tin liên lạc,quyen_rieng_tu,,11
quyen_rieng_tu__thoi_gian_bat_dau_thoi_gian_ket_thuc_xu_ly_du_lieu,"Thời gian bắt đầu, thời gian kết thúc xử lý dữ liệu",quyen_rieng_tu,,12
quyen_rieng_tu__xu_ly_thong_tin_khach_hang,Xử lý Thông tin Khách hàng,quyen_rieng_tu,,13
ho_tro_khach_hang__bao_ve_va_luu_tru_thong_tin,Bảo vệ và lưu trữ thông tin,ho_tro_khach_hang,,14
ho_tro_khach_hang__chia_se_va_tiet_lo_thong_tin,Chia sẻ và tiết lộ thông tin,ho_tro_khach_hang,,15
ho_tro_khach_hang__chinh_sach_chung,Chính sách chung,ho_tro_khach_hang,,16
ho_tro_khach_hang__huong_dan_chuyen_tien_mobile_money,Hướng dẫn chuyển tiền Mobile Money,ho_tro_khach_hang,,17
ho_tro_khach_hang__huong_dan_naprut_tien_mobile_money,Hướng dẫn nạp/rút tiền Mobile Money,ho_tro_khach_hang,,18
ho_tro_khach_hang__huong_dan_thanh_toan,Hướng dẫn thanh toán,ho_tro_khach_hang,,19
ho_tro_khach_hang__huong_dan_thanh_toan_dich_vu_bang_mobile_money,Hướng dẫn thanh toán dịch vụ bằng Mobile Money,ho_tro_khach_hang,,20
ho_tro_khach_hang__huong_dan_dang_ky_mobile_money,Hướng dẫn đăng ký Mobile Money,ho_tro_khach_hang,,21
ho_tro_khach_hang__lien_ket_ngan_hang,Liên kết ngân hàng,ho_tro_khach_hang,,22
ho_tro_khach_hang__muc_dich_thu_thap_thong_tin_ca_nhan,Mục đích thu thập thông tin cá nhân,ho_tro_khach_hang,,23
ho_tro_khach_hang__quyen_va_nghia_vu_cua_khach_hang_lien_quan_den_bao_ve_du_lie,Quyền và nghĩa vụ của khách hàng liên quan đến bảo vệ dữ liệu cá nhân,ho_tro_khach_hang,,24
ho_tro_khach_hang__thay_doi_thong_tin_ca_nhan,Thay đổi thông tin cá nhân,ho_tro_khach_hang,,25
ho_tro_khach_hang__thu_thap_thong_tin_ca_nhan,Thu thập thông tin cá nhân,ho_tro_khach_hang,,26
ho_tro_khach_hang__tro_giup_khac,Trợ giúp khác,ho_tro_khach_hang,,27
ho_tro_khach_hang__tai_va_cap_nhat_ung_dung,Tải và cập nhật ứng dụng,ho_tro_khach_hang,,28
ho_tro_khach_hang__dang_ky_tai_khoan_vnpt_money,Đăng ký tài khoản VNPT Money,ho_tro_khach_hang,,29
ho_tro_khach_hang__dang_nhap_tai_khoan_vnpt_money,Đăng nhập tài khoản VNPT Money,ho_tro_khach_hang,,30
ho_tro_khach_hang__dinh_danh_tai_khoan_vnpt_money,Định danh tài khoản VNPT Money,ho_tro_khach_hang,,31
dieu_khoan__bieu_phi_va_han_muc_giao_dich,Biểu phí và hạn mức giao dịch,dieu_khoan,,32
